DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,REF_KEY,BIGINT,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNEDUCATIONCODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERADDRESSFOUND,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERPASSPORTNO,VARCHAR(20) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERFAMILYNAME,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERMIDDLENAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERFIRSTNAME,VARCHAR(200) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERPOLICERESOLUTIONDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVEROTHERENTRUST,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSKIDDISCOVERDESCENTCODE,VARCHAR(1) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERNATIONALID,VARCHAR(14) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERFULLNAME,VARCHAR(200) CHARACTER SET UNICODE,Y, , , 
